Well,Strain,Biorep,Techrep,Medium
A1,,,,RPMI
A2,,,,RPMI
A3,,,,RPMI
A4,,,,RPMI
A5,,,,RPMI
A6,,,,RPMI
A7,,,,RPMI
A8,,,,RPMI
A9,,,,RPMI
A10,,,,RPMI
A11,,,,RPMI
A12,,,,RPMI
B1,,,,RPMI
B2,H99,1,1,RPMI
B3,H99,1,2,RPMI
B4,WT1,1,1,RPMI
B5,WT1,1,2,RPMI
B6,WT2,1,1,RPMI
B7,WT2,1,2,RPMI
B8,Gat201 deletion,1,1,RPMI
B9,Gat201 deletion,1,2,RPMI
B10,23,1,1,RPMI
B11,23,1,2,RPMI
B12,,,,RPMI
C1,,,,RPMI
C2,H99,1,3,RPMI
C3,H99,1,4,RPMI
C4,WT1,1,3,RPMI
C5,WT1,1,4,RPMI
C6,WT2,1,3,RPMI
C7,WT2,1,4,RPMI
C8,Gat201 deletion,1,3,RPMI
C9,Gat201 deletion,1,4,RPMI
C10,23,1,3,RPMI
C11,23,1,4,RPMI
C12,,,,RPMI
D1,,,,RPMI
D2,Clone 1,1,1,RPMI
D3,Clone 1,1,2,RPMI
D4,Clone 2,1,1,RPMI
D5,Clone 2,1,2,RPMI
D6,32,1,1,RPMI
D7,32,1,2,RPMI
D8,36,1,1,RPMI
D9,36,1,2,RPMI
D10,44,1,1,RPMI
D11,44,1,2,RPMI
D12,,,,RPMI
E1,,,,RPMI
E2,Clone 1,2,3,RPMI
E3,Clone 1,2,4,RPMI
E4,Clone 2,2,3,RPMI
E5,Clone 2,2,4,RPMI
E6,32,2,3,RPMI
E7,32,2,4,RPMI
E8,36,2,3,RPMI
E9,36,2,4,RPMI
E10,44,2,3,RPMI
E11,44,2,4,RPMI
E12,,,,RPMI
F1,,,,RPMI
F2,46,2,1,RPMI
F3,46,2,2,RPMI
F4,5,2,1,RPMI
F5,50,2,2,RPMI
F6,51,2,1,RPMI
F7,51,2,2,RPMI
F8,53,2,1,RPMI
F9,53,2,2,RPMI
F10,,,,RPMI
F11,,,,RPMI
F12,,,,RPMI
G1,,,,RPMI
G2,46,2,1,RPMI
G3,46,2,2,RPMI
G4,5,2,1,RPMI
G5,50,2,2,RPMI
G6,51,2,1,RPMI
G7,51,2,2,RPMI
G8,53,2,1,RPMI
G9,53,2,2,RPMI
G10,,,,RPMI
G11,,,,RPMI
G12,,,,RPMI
H1,,,,RPMI
H2,,,,RPMI
H3,,,,RPMI
H4,,,,RPMI
H5,,,,RPMI
H6,,,,RPMI
H7,,,,RPMI
H8,,,,RPMI
H9,,,,RPMI
H10,,,,RPMI
H11,,,,RPMI
H12,,,,RPMI
